model,mode,split,accuracy,precision,detection_rate,f1,far,roc_auc
cnn,binary,official,85.74551814604285,88.23292973192349,85.74551814604285,85.27477313395401,30.675675675675674,0.9808887496094876
lstm,binary,official,81.56731283097702,85.62629350406166,81.56731283097702,80.599072681613,40.02162162162162,0.941610884024411
cnn_lstm,binary,official,86.87873487829762,88.86747416651669,86.87873487829762,86.51917975180187,27.7972972972973,0.9813014471610056
cnn,binary,stratified,93.72077229067624,93.76753571420798,93.72077229067624,93.73663315884949,7.494623655913979,0.9881830168905518
lstm,binary,stratified,92.96400504511497,92.99504849364128,92.96400504511497,92.97613157723231,8.935483870967742,0.985662507284632
cnn_lstm,binary,stratified,94.11467934413506,94.1525252084927,94.11467934413506,94.12777996870743,7.096774193548387,0.989700135163592
cnn,multiclass,official,74.93562648787835,80.65386815175448,74.93562648787835,75.71998798631837,25.859459459459462,
lstm,multiclass,official,76.1635815964631,81.00552338026354,76.1635815964631,76.52733686685923,23.90810810810811,
cnn_lstm,multiclass,official,75.86843511635816,81.66407976074194,75.86843511635816,76.15450052235528,25.427027027027027,
cnn,multiclass,stratified,81.34277675366256,80.56535488650913,81.34277675366256,78.3015685501557,3.973118279569893,
lstm,multiclass,stratified,80.06597458038226,78.84891695165351,80.06597458038226,78.65113556302984,7.349462365591399,
cnn_lstm,multiclass,stratified,82.21985058697973,81.79308117548015,82.21985058697973,80.31488919944886,6.21505376344086,
